"whole","cyto","nuc"
111.27,435.18,673.5
21.18,111.58,133.25
42.22,47.12,50.26
1.05,1.64,6.14
0,0.01,0.01
5.3,1.63,4.22
20.19,9.48,22.2
17.24,56.45,302.81
7.59,5.98,22.62
20.56,83.23,87.79
66.69,37.67,35
43.98,14.19,31.92
73.34,17.89,92.73
31.27,7.99,5.31
249.2,32.83,27.88
0.03,0.06,0.11
12.01,6.07,1.4
0,0.02,0
7.64,23.98,58.57
0,0,0
0.68,0.21,0.18
0.21,0.02,0.3
0.07,0.14,0.17
5.95,0.86,1.42
42.53,15.1,21.31
12.4,7.55,9.38
55.22,18.44,21
4.32,20.25,30.01
18.33,35.49,91.89
13.88,32.49,154.17
1.66,1.22,13.23
46.08,61.21,225.16
29.76,23.88,128.92
68.9,5.6,9.28
14.84,4.93,2.19
3.79,2.56,3.24
24.36,76.9,92.95
4.99,5.93,50.05
0.1,0,0.01
7.64,1.73,3.5
67.21,21.06,17.03
0.08,0,0
5.96,0.72,0.63
0.13,0.01,0
0.21,0.07,0
6.34,21.48,134.81
16.01,5.36,6.17
14.83,34.83,109.54
0.68,0.06,0.05
19.23,8.62,4.65
3.36,1.96,5.38
29.02,48.83,112.84
9.11,8.27,38.33
25.05,54.31,72.41
26.4,98.89,159.67
11.91,2.42,2.83
4.62,1.47,0.73
131.97,41.3,46.78
62.6,25.65,17.5
33.95,9.15,9.13
20.85,2.91,3.98
16.82,61.1,219.56
19.36,7.75,10.43
0.16,0.07,0.38
57.69,7.15,6.11
14.35,10.29,9.49
20.05,9.53,37.68
18.91,2.61,1.98
0,0,0
6.23,3.67,10.25
165.19,87.16,53.06
52.89,19.28,13.69
19.19,12.77,19.51
5.57,2.48,2.87
154.56,306.81,153.14
10.89,5.36,34.61
10.33,8.8,31.27
94.85,31.8,15.31
37.66,8.19,5.68
18.47,13.76,23.83
0.06,0.04,0.12
20.25,2.82,1.95
11.21,2.43,1.05
0.56,0.21,1.21
4.76,1.26,0.68
13.5,6.01,13.33
5.25,1.7,1.38
2.01,1.34,7.81
30.46,40.99,44.84
110.24,15.55,7.33
52.7,15.03,7.26
19.53,16.34,14.14
21.15,5.58,11.5
325.07,208.06,124.84
16.91,6.94,9.25
7.17,3.17,8.08
261.42,509.14,191.8
1.68,1.78,3.83
25.49,7.29,5.1
0.44,0.06,0.05
37.81,41.63,40.42
0,0,0.01
24.88,7.92,11
85.84,38.22,62.36
35.19,6.15,8.38
28.45,54.49,96.48
0.7,0.08,0.07
0.05,0.09,0.12
7.73,6.4,15.92
24.67,3.83,7.59
0,0,0.02
111.26,103.71,123.76
0,0.05,0.23
26.72,31.22,23.02
0,0,0
0,0,0
14.27,2.63,6.37
29.47,6.69,3.39
37.51,9.72,3.32
0.19,0.06,0.07
12.32,3.66,2.3
19.38,10.55,5.72
28.65,15.88,17.6
21.7,6.85,4.93
22.75,18.97,40.02
36.63,35.78,16.89
0.15,0.79,3.13
14.81,2.39,2.91
16.11,5.49,5.11
0.01,0,0
4.57,1.35,4.03
27.45,6.91,3.16
0.27,0.06,0.26
57.34,38.13,20.86
20.25,3.73,3.24
44.7,7.44,16.1
125.52,269.79,669.32
29.47,15.91,14.72
25.41,7.36,3.75
54.15,58.34,171.41
61.01,13.84,19.18
30.72,11.1,32.76
493.53,90.62,55.08
35.13,11.1,12.74
471.91,206.11,338.22
2.44,3.24,16.47
6.18,2.11,1.52
2.65,5.73,12.33
2092.23,1616.19,2977.74
16.98,2.39,1.86
34.75,5.82,5.94
27.8,30.56,71.32
42.97,11.29,19.63
1.27,0.31,2.31
5.24,1.75,0.8
260.05,233.21,223.27
53.37,23.67,36.28
4.47,3.39,1.17
5.14,13.49,16.63
6.54,1.53,1.46
73.52,13.43,10.57
31.54,3.61,2.69
7.57,1.94,3.11
38.43,86.07,251.86
5.98,15.54,53.92
0.97,1.25,4.34
0.06,0.2,0.83
18.34,1.91,3.86
27.06,17.01,8.13
14.38,3.79,2.2
26.13,37.33,68.94
5.32,7.21,21.87
9.04,23.44,34.8
1.31,3.13,25.19
16.07,11.57,17.74
36.12,13.64,48.62
58.65,86.78,292.23
4.02,10.33,35.18
25.87,8.7,19.85
49.65,37.29,78.74
20.68,16.17,33.12
8.18,13.54,24.49
15.76,4.23,3.38
9.03,7.98,6.5
26.09,25.84,24.16
26.61,21.81,55.93
27.46,44.03,106.35
41.21,33.4,8.33
0.24,0.2,0.13
6.92,3.17,15.88
22.4,7.73,27.44
496.83,127.27,79.92
14.82,26.27,84.74
61.59,63.07,199.32
0,0,0
8.06,2.19,1.51
41.74,12.47,4.52
0.72,0.95,2.52
48.26,10.15,13.37
21.41,4.1,3.47
23.88,24.5,51.56
73.84,34.76,23.55
8.42,4.12,10.39
0.3,0.24,1.12
0.2,0.16,0.07
7.39,19.1,34.6
0.02,0,0
6.16,0.86,2.77
0,0,0
0.78,0.18,0.52
0,0,0
35.14,7.16,11.03
101.24,17.31,6.83
51.6,14.05,8.6
21.82,7.36,3.63
19.17,76.83,323.53
4.81,5.02,12.56
0.01,0,0
1.9,8.89,8.52
2.47,0.21,1.65
24.79,11.74,2.45
0.36,0.09,0.06
1.14,0.7,0.42
0,0.07,1.95
9.15,1.65,3.25
1.13,0.08,0.11
0.28,0.29,0.67
1.48,1.5,1.33
221.43,82.09,38.16
47.64,12.85,10.52
32.99,4.92,6.65
72.33,11.47,4.66
54.52,42.92,25.35
10.43,3.61,1.26
20.7,37.76,62.5
89.1,113.62,73.27
47.72,22.72,31.83
0.02,0,0
0,0,0
6.53,14.87,48.33
37.06,9.11,12.5
59.37,7.27,2.28
307.69,143.46,66.14
23.19,5.61,8.2
0.16,0.14,0.56
0,0,0
0,0,0
29.44,3.72,1.9
11.61,2.18,5.93
9.93,6.17,33.25
38.09,6.93,3.27
9.84,8.62,47.8
0.01,0.21,1.24
34.48,81.44,480.58
9.73,8.42,31.49
3.75,32.67,75
4.33,7.82,45.19
10.3,4.5,18.27
17.43,23.71,32.4
27.77,10.54,6.49
0.48,0.06,0.09
19.8,3.87,2.72
0.01,0,0.02
35.93,29.3,138.13
20.99,21.13,76.85
87.63,14.33,39.22
32.88,12.32,19.56
0.09,0.34,0.09
0.64,0.14,0.31
0,0,0
1496.74,947.83,1597.71
0.44,0.2,0.41
38.64,50.36,82.37
48.7,19.25,12.32
7.46,1.93,6.1
19.27,14.73,7.88
0.14,0.05,1.01
16.93,36.95,99.6
189.88,42.33,16.39
13.6,3.42,11.02
0,0.01,0.08
0.01,0.04,0.11
12.45,5.77,9.42
107.71,8.23,7.17
0,0,0.01
10.65,25.39,11.77
69.43,27.81,29.14
1.71,0.66,0.44
2352.46,1960.7,339.41
157.08,260.1,406.78
20.02,3.7,1.71
0,0,0
4.56,4.56,6.07
0.32,0.05,0.19
5.24,2.46,1.83
2.39,1.68,9.72
65.25,80.37,105.51
99.05,155.38,88.35
41.48,3.81,5.99
62.39,31.65,27.12
52.74,53.79,157.8
16.19,51.79,188.57
0.21,0.14,0.14
36.24,53.36,67.31
17.63,37.68,121.52
0,0,0
33.24,6.07,9.52
41.74,76.57,97.53
14.11,35.88,88.17
26.88,99.61,701.57
0.01,0,0
38.68,10.73,10.85
1.27,0.07,0.1
63.69,32.81,27.3
0.98,0.11,0.17
110.24,37.61,43.47
9.11,28.99,23.56
4.28,4.46,21.91
0,0,0
156.12,198.42,639.97
10.66,2.75,7.19
8.17,0.96,0.86
24.81,26.51,70.69
17.99,19.37,88.81
0.91,2.3,13.79
0.1,0.04,0.14
1.77,4.35,26.21
0.15,0.01,0.06
170.89,68.61,135.68
110.38,19.99,27.21
41.66,39.64,501.57
0,0,0
40.1,4.3,5.01
26.48,6.88,4.58
19.1,5.22,4.77
18.74,3.25,2.19
64.95,36.23,46.41
117.22,225.62,226.37
18.72,18.14,24.97
24.97,6.12,5.09
31.18,22.26,71.59
0.15,0.01,0.02
49.16,19.83,41.6
0,0,0
24.6,6.07,6.86
15.79,5.92,5.99
218.32,318.85,2537.92
3.98,4.46,22.3
66.26,19.87,12.9
0.02,1.1,0.46
0.81,0.44,0.45
4.43,2.99,10.14
104.03,36.54,28.36
6.35,2.59,8.05
20.33,17.27,13.32
0.01,0,0.01
1.39,0.68,0.63
28.63,55.51,115.54
